,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2024,Capex2024,Opex2024,FixedOpex2024,VarOpex2024
131,2050,DIST_CRU,,,39.57,,,,,,654.37305,,,,132.37233,,,39.57,654.37305,,,,39.57,,132.37233,39.57,,,,182.2229,,182.2229
132,2018,DIST_NGS,,,26.443931,,,,,,142.5513,,,,139.08933,,,26.443931,142.5513,,,,26.443931,,139.08933,26.443931,,,,191.4694,,191.4694
133,2019,DIST_NGS,,,29.389859,,,,,,192.92679,,,,179.20927,,,29.389859,192.92679,,,,29.389859,,179.20927,29.389859,,,,246.6983,,246.6983
134,2020,DIST_NGS,,,50.833156,,,,,,282.45443,,,,249.78227,,,50.833156,282.45443,,,,50.833156,,249.78227,50.833156,,,,343.8486,,343.8486
135,2021,DIST_NGS,,,58.84555,,,,,,302.91335,,,,255.02157,,,58.84555,302.91335,,,,58.84555,,255.02157,58.84555,,,,351.061,,351.061
136,2022,DIST_NGS,,,57.177711,,,,,,436.95779,,,,350.22188,,,57.177711,436.95779,,,,57.177711,,350.22188,57.177711,,,,482.1131,,482.1131
137,2023,DIST_NGS,,,62.67466,,,,,,1290.2958,,,,984.55129,,,62.67466,1290.2958,,,,62.67466,,984.55129,62.67466,,,,1355.3267,,1355.3267
138,2024,DIST_NGS,,,60.438036,,,,,,462.10923,,,,335.69046,,,60.438036,462.10923,,,,60.438036,,335.69046,60.438036,,,,462.1092,,462.1092
139,2025,DIST_NGS,,,61.721427,,,,,,377.78451,,,,261.26654,,,61.721427,377.78451,,,,61.721427,,261.26654,61.721427,,,,359.6578,,359.6578
140,2026,DIST_NGS,,,60.167769,,,,,,362.66724,,,,238.77743,,,60.167769,362.66724,,,,60.167769,,238.77743,60.167769,,,,328.6994,,328.6994
141,2027,DIST_NGS,,,67.329079,,,,,,399.56442,,,,250.44769,,,67.329079,399.56442,,,,67.329079,,250.44769,67.329079,,,,344.7646,,344.7646
142,2028,DIST_NGS,,,68.343512,,,,,,399.21496,,,,238.22225,,,68.343512,399.21496,,,,68.343512,,238.22225,68.343512,,,,327.9351,,327.9351
143,2029,DIST_NGS,,,69.337906,,,,,,398.56815,,,,226.42449,,,69.337906,398.56815,,,,69.337906,,226.42449,69.337906,,,,311.6944,,311.6944
144,2030,DIST_NGS,,,70.323717,,,,,,397.68062,,,,215.08024,,,70.323717,397.68062,,,,70.323717,,215.08024,70.323717,,,,296.078,,296.078
145,2031,DIST_NGS,,,74.027658,,,,,,411.73443,,,,211.99643,,,74.027658,411.73443,,,,74.027658,,211.99643,74.027658,,,,291.8329,,291.8329
146,2032,DIST_NGS,,,80.007953,,,,,,437.53949,,,,214.47364,,,80.007953,437.53949,,,,80.007953,,214.47364,80.007953,,,,295.243,,295.243
147,2033,DIST_NGS,,,81.22412,,,,,,436.62838,,,,203.75764,,,81.22412,436.62838,,,,81.22412,,203.75764,81.22412,,,,280.4914,,280.4914
148,2034,DIST_NGS,,,82.416617,,,,,,435.35754,,,,193.4164,,,82.416617,435.35754,,,,82.416617,,193.4164,82.416617,,,,266.2557,,266.2557
149,2035,DIST_NGS,,,83.592524,,,,,,433.78668,,,,183.47155,,,83.592524,433.78668,,,,83.592524,,183.47155,83.592524,,,,252.5657,,252.5657
150,2036,DIST_NGS,,,86.721897,,,,,,441.94346,,,,177.95267,,,86.721897,441.94346,,,,86.721897,,177.95267,86.721897,,,,244.9685,,244.9685
151,2037,DIST_NGS,,,87.776511,,,,,,439.14589,,,,168.34178,,,87.776511,439.14589,,,,87.776511,,168.34178,87.776511,,,,231.7382,,231.7382
152,2038,DIST_NGS,,,89.067782,,,,,,437.30499,,,,159.59263,,,89.067782,437.30499,,,,89.067782,,159.59263,89.067782,,,,219.6941,,219.6941
153,2039,DIST_NGS,,,90.206896,,,,,,434.49956,,,,150.96039,,,90.206896,434.49956,,,,90.206896,,150.96039,90.206896,,,,207.8111,,207.8111
154,2040,DIST_NGS,,,91.589883,,,,,,432.62481,,,,143.09695,,,91.589883,432.62481,,,,91.589883,,143.09695,91.589883,,,,196.9863,,196.9863
155,2041,DIST_NGS,,,93.069807,,,,,,430.95044,,,,135.70366,,,93.069807,430.95044,,,,93.069807,,135.70366,93.069807,,,,186.8087,,186.8087
