REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
RD,All,PPCCTNGSDSL,E1DSL,2043,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2044,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2045,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2046,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2047,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2048,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2049,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2050,8.257899999999998
RD,All,PPICEFOI,E1FOI,2018,50.640044640000006
RD,All,PPICEFOI,E1FOI,2019,54.6972844
RD,All,PPICEFOI,E1FOI,2020,25.88308746
RD,All,PPICEFOI,E1FOI,2021,23.2786936
RD,All,PPICEFOI,E1FOI,2022,32.40772152
RD,All,PPICEFOI,E1FOI,2023,23.13681642
RD,All,PPICEFOI,E1FOI,2024,19.467150720000003
RD,All,PPICEFOI,E1FOI,2025,16.22254086
RD,All,PPICEFOI,E1FOI,2026,12.977931000000002
RD,All,PPICEFOI,E1FOI,2027,9.73357536
RD,All,PPICEFOI,E1FOI,2028,6.488965500000001
RD,All,PPICEFOI,E1FOI,2029,3.24460986
RD,All,PPICEGASFOI,E1NGS,2018,4.2275
RD,All,PPICEGASFOI,E1NGS,2019,4.1846
RD,All,PPICEGASFOI,E1NGS,2020,7.8063
RD,All,PPICEGASFOI,E1NGS,2021,9.2678
RD,All,PPICEGASFOI,E1NGS,2022,14.2778
RD,All,PPICEGASFOI,E1NGS,2023,8.5906
RD,All,PPICEGASFOI,E1NGS,2024,13.3469
RD,All,PPICEGASFOI,E1NGS,2025,13.3469
RD,All,PPICEGASFOI,E1NGS,2026,13.3469
RD,All,PPICEGASFOI,E1NGS,2027,13.3469
RD,All,PPICEGASFOI,E1NGS,2028,13.3469
RD,All,PPICEGASFOI,E1NGS,2029,13.3469
RD,All,PPICEGASFOI,E1NGS,2030,13.3469
RD,All,PPICEGASFOI,E1NGS,2031,13.3469
RD,All,PPICEGASFOI,E1NGS,2032,13.3469
RD,All,PPICEGASFOI,E1NGS,2033,13.3469
RD,All,PPICEGASFOI,E1NGS,2034,13.3469
RD,All,PPICEGASFOI,E1NGS,2035,13.3469
RD,All,PPICEGASFOI,E1NGS,2036,13.3469
RD,All,PPICEGASFOI,E1NGS,2037,13.3469
RD,All,PPICEGASFOI,E1NGS,2038,13.3469
RD,All,PPICEGASFOI,E1NGS,2039,13.3469
RD,All,PPICEGASFOI,E1NGS,2040,13.3469
RD,All,PPICEGASFOI,E1NGS,2041,13.3469
RD,All,PPICEGASFOI,E1NGS,2042,13.3469
RD,All,PPICEGASFOI,E1NGS,2043,13.3469
RD,All,PPICEGASFOI,E1NGS,2044,13.3469
RD,All,PPICEGASFOI,E1NGS,2045,13.3469
RD,All,PPICEGASFOI,E1NGS,2046,13.3469
RD,All,PPICEGASFOI,E1NGS,2047,13.3469
RD,All,PPICEGASFOI,E1NGS,2048,13.3469
RD,All,PPICEGASFOI,E1NGS,2049,13.3469
RD,All,PPICEGASFOI,E1NGS,2050,13.3469
RD,All,PPICEGASFOI,E1FOI,2018,4.2275
RD,All,PPICEGASFOI,E1FOI,2019,4.1846
RD,All,PPICEGASFOI,E1FOI,2020,7.8063
RD,All,PPICEGASFOI,E1FOI,2021,9.2678
RD,All,PPICEGASFOI,E1FOI,2022,14.2778
RD,All,PPICEGASFOI,E1FOI,2023,8.5906
RD,All,PPICEGASFOI,E1FOI,2024,13.3469
RD,All,PPICEGASFOI,E1FOI,2025,13.3469
RD,All,PPICEGASFOI,E1FOI,2026,13.3469
RD,All,PPICEGASFOI,E1FOI,2027,13.3469
RD,All,PPICEGASFOI,E1FOI,2028,13.3469
RD,All,PPICEGASFOI,E1FOI,2029,13.3469
RD,All,PPICEGASFOI,E1FOI,2030,13.3469
RD,All,PPICEGASFOI,E1FOI,2031,13.3469
RD,All,PPICEGASFOI,E1FOI,2032,13.3469
RD,All,PPICEGASFOI,E1FOI,2033,13.3469
RD,All,PPICEGASFOI,E1FOI,2034,13.3469
RD,All,PPICEGASFOI,E1FOI,2035,13.3469
RD,All,PPICEGASFOI,E1FOI,2036,13.3469
RD,All,PPICEGASFOI,E1FOI,2037,13.3469
RD,All,PPICEGASFOI,E1FOI,2038,13.3469
RD,All,PPICEGASFOI,E1FOI,2039,13.3469
RD,All,PPICEGASFOI,E1FOI,2040,13.3469
RD,All,PPICEGASFOI,E1FOI,2041,13.3469
RD,All,PPICEGASFOI,E1FOI,2042,13.3469
RD,All,PPICEGASFOI,E1FOI,2043,13.3469
RD,All,PPICEGASFOI,E1FOI,2044,13.3469
RD,All,PPICEGASFOI,E1FOI,2045,13.3469
RD,All,PPICEGASFOI,E1FOI,2046,13.3469
RD,All,PPICEGASFOI,E1FOI,2047,13.3469
RD,All,PPICEGASFOI,E1FOI,2048,13.3469
RD,All,PPICEGASFOI,E1FOI,2049,13.3469
RD,All,PPICEGASFOI,E1FOI,2050,13.3469
RD,All,ELE_TRANS,E1ELE,2018,83.33159999999998
RD,All,ELE_TRANS,E1ELE,2019,83.33159999999998
RD,All,ELE_TRANS,E1ELE,2020,83.33159999999998
RD,All,ELE_TRANS,E1ELE,2021,89.05119163047507
RD,All,ELE_TRANS,E1ELE,2022,89.5443968982402
RD,All,ELE_TRANS,E1ELE,2023,90.09343062950867
RD,All,ELE_TRANS,E1ELE,2024,93.5096457567117
RD,All,ELE_TRANS,E1ELE,2025,95.06601033858
RD,All,ELE_TRANS,E1ELE,2026,95.6026424322107
