,REGION,MODE_OF_OPERATION,TECHNOLOGY,FUEL,EMISSION,YEAR,TIMESLICE,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
15612,CR,1.0,PPBIO,E1ELE,,2039.0,All,,,,,,,,,,,,,,,,0.3110452487999999,,,,,,,,,
15613,CR,1.0,PPBIO,E1ELE,,2040.0,All,,,,,,,,,,,,,,,,0.3135850848,,,,,,,,,
15614,CR,1.0,PPBIO,E1ELE,,2041.0,All,,,,,,,,,,,,,,,,0.3160402595999999,,,,,,,,,
15615,CR,1.0,PPBIO,E1ELE,,2042.0,All,,,,,,,,,,,,,,,,0.3185800955999999,,,,,,,,,
15616,CR,1.0,PPBIO,E1ELE,,2043.0,All,,,,,,,,,,,,,,,,0.3211199316,,,,,,,,,
15617,CR,1.0,PPBIO,E1ELE,,2044.0,All,,,,,,,,,,,,,,,,0.3235751063999999,,,,,,,,,
15618,CR,1.0,PPBIO,E1ELE,,2045.0,All,,,,,,,,,,,,,,,,0.3261149424,,,,,,,,,
15619,CR,1.0,PPBIO,E1ELE,,2046.0,All,,,,,,,,,,,,,,,,0.3285701172,,,,,,,,,
15620,CR,1.0,PPBIO,E1ELE,,2047.0,All,,,,,,,,,,,,,,,,0.3311099531999999,,,,,,,,,
15621,CR,1.0,PPBIO,E1ELE,,2048.0,All,,,,,,,,,,,,,,,,0.3336497891999999,,,,,,,,,
15622,CR,1.0,PPBIO,E1ELE,,2049.0,All,,,,,,,,,,,,,,,,0.336104964,,,,,,,,,
15623,CR,1.0,PPBIO,E1ELE,,2050.0,All,,,,,,,,,,,,,,,,0.3386447999999999,,,,,,,,,
15624,CR,1.0,PPDSL,E1ELE,,2018.0,All,,,,,,,,,,,,,,,,0.0299999999999999,,,,,,,,,
15625,CR,1.0,PPDSL,E1ELE,,2019.0,All,,,,,,,,,,,,,,,,0.0299999999999999,,,,,,,,,
15626,CR,1.0,PPDSL,E1ELE,,2020.0,All,,,,,,,,,,,,,,,,0.0299999999999999,,,,,,,,,
15627,CR,1.0,PPDSL,E1ELE,,2021.0,All,,,,,,,,,,,,,,,,0.0299999999999999,,,,,,,,,
15628,CR,1.0,PPDSL,E1ELE,,2022.0,All,,,,,,,,,,,,,,,,0.0267,,,,,,,,,
15629,CR,1.0,PPDSL,E1ELE,,2023.0,All,,,,,,,,,,,,,,,,0.0233,,,,,,,,,
15630,CR,1.0,PPDSL,E1ELE,,2024.0,All,,,,,,,,,,,,,,,,0.02,,,,,,,,,
15631,CR,1.0,PPDSL,E1ELE,,2025.0,All,,,,,,,,,,,,,,,,0.0167,,,,,,,,,
15632,CR,1.0,PPDSL,E1ELE,,2026.0,All,,,,,,,,,,,,,,,,0.0132999999999999,,,,,,,,,
15633,CR,1.0,PPDSL,E1ELE,,2027.0,All,,,,,,,,,,,,,,,,0.01,,,,,,,,,
15634,CR,1.0,PPDSL,E1ELE,,2028.0,All,,,,,,,,,,,,,,,,0.0067,,,,,,,,,
15635,CR,1.0,PPDSL,E1ELE,,2029.0,All,,,,,,,,,,,,,,,,0.0033,,,,,,,,,
15636,CR,1.0,PPFOI,E1ELE,,2018.0,All,,,,,,,,,,,,,,,,0.4981999999999999,,,,,,,,,
15637,CR,1.0,PPFOI,E1ELE,,2019.0,All,,,,,,,,,,,,,,,,0.3045999999999999,,,,,,,,,
15638,CR,1.0,PPFOI,E1ELE,,2020.0,All,,,,,,,,,,,,,,,,0.1588,,,,,,,,,
